param,aic
"[(2, 1, 2), (2, 0, 3, 7)]",13099.657943169792
"[(3, 1, 2), (2, 0, 2, 7)]",13099.680303254465
"[(2, 1, 2), (3, 0, 2, 7)]",13099.683102285486
"[(2, 1, 3), (2, 0, 2, 7)]",13099.717883565012
"[(3, 1, 3), (2, 0, 1, 7)]",13099.89596898732
"[(2, 1, 3), (2, 0, 3, 7)]",13101.369191426724
"[(3, 1, 3), (2, 0, 2, 7)]",13101.512921326295
"[(3, 1, 2), (3, 0, 2, 7)]",13101.600168457462
"[(3, 1, 2), (2, 0, 3, 7)]",13101.623928569294
"[(2, 1, 3), (3, 0, 2, 7)]",13101.651980221348
"[(3, 1, 3), (3, 0, 2, 7)]",13103.220917377432
"[(3, 1, 3), (2, 0, 3, 7)]",13103.439099626412
"[(3, 1, 0), (3, 0, 1, 7)]",13249.227355356026
"[(3, 1, 0), (1, 0, 3, 7)]",13249.55284099744
"[(3, 1, 0), (1, 0, 1, 7)]",13253.600308228359
"[(3, 1, 0), (2, 0, 1, 7)]",13255.376844378392
"[(3, 1, 0), (1, 0, 2, 7)]",13255.403779571672
"[(3, 1, 0), (3, 0, 3, 7)]",13255.587562098839
"[(3, 1, 0), (2, 0, 2, 7)]",13256.921481411124
"[(3, 1, 0), (3, 0, 2, 7)]",13258.824192986376
"[(3, 1, 0), (2, 0, 3, 7)]",13258.827955630091
"[(1, 1, 3), (3, 0, 0, 7)]",13337.366958139544
"[(2, 1, 2), (3, 0, 0, 7)]",13337.367416875866
"[(3, 1, 2), (3, 0, 0, 7)]",13338.876012056493
"[(2, 1, 3), (3, 0, 0, 7)]",13339.033793566101
"[(3, 1, 3), (3, 0, 0, 7)]",13341.1592729965
"[(3, 1, 1), (3, 0, 0, 7)]",13351.02508684281
"[(2, 1, 1), (3, 0, 0, 7)]",13354.291536725308
"[(2, 1, 0), (1, 0, 3, 7)]",13356.058969431546
"[(2, 1, 0), (3, 0, 1, 7)]",13356.113291026739
"[(0, 1, 3), (3, 0, 0, 7)]",13357.625502342795
"[(1, 1, 1), (3, 0, 0, 7)]",13360.226267818423
"[(2, 1, 0), (1, 0, 1, 7)]",13361.785871443353
"[(0, 1, 2), (3, 0, 0, 7)]",13362.098157023394
"[(2, 1, 0), (2, 0, 1, 7)]",13363.781761621987
"[(2, 1, 0), (1, 0, 2, 7)]",13363.782273091476
"[(2, 1, 0), (3, 0, 3, 7)]",13364.942133525765
"[(2, 1, 0), (2, 0, 2, 7)]",13365.716062121284
"[(2, 1, 0), (2, 0, 3, 7)]",13367.711221868041
"[(2, 1, 0), (3, 0, 2, 7)]",13367.718387312727
"[(0, 1, 1), (3, 0, 0, 7)]",13369.982241555059
"[(1, 1, 2), (3, 0, 0, 7)]",13373.981900053892
"[(3, 1, 3), (2, 0, 0, 7)]",13426.484552064056
"[(1, 1, 3), (2, 0, 0, 7)]",13429.864880397796
"[(2, 1, 3), (2, 0, 0, 7)]",13431.179573452631
"[(3, 1, 1), (2, 0, 0, 7)]",13437.103016956238
"[(2, 1, 1), (2, 0, 0, 7)]",13437.705904789033
"[(0, 1, 3), (2, 0, 0, 7)]",13439.600269415758
"[(1, 1, 1), (2, 0, 0, 7)]",13440.370260194803
"[(3, 1, 2), (2, 0, 0, 7)]",13441.699564342896
"[(2, 1, 2), (2, 0, 0, 7)]",13441.959582504744
"[(0, 1, 2), (2, 0, 0, 7)]",13442.61853558771
"[(0, 1, 1), (2, 0, 0, 7)]",13459.027783524823
"[(1, 1, 2), (2, 0, 0, 7)]",13461.147786527625
"[(2, 1, 3), (0, 0, 2, 7)]",13536.276455377105
"[(1, 1, 0), (1, 0, 3, 7)]",13550.359936325145
"[(1, 1, 0), (3, 0, 1, 7)]",13550.460432403186
"[(3, 1, 0), (3, 0, 0, 7)]",13553.216180886964
"[(1, 1, 0), (1, 0, 1, 7)]",13556.45932949159
"[(1, 1, 0), (2, 0, 1, 7)]",13558.25949981121
"[(1, 1, 0), (1, 0, 2, 7)]",13558.285404576272
"[(1, 1, 0), (2, 0, 2, 7)]",13559.625707296964
"[(1, 1, 0), (3, 0, 3, 7)]",13561.513918533456
"[(1, 1, 0), (2, 0, 3, 7)]",13561.87171862249
"[(1, 1, 0), (3, 0, 2, 7)]",13561.908073959454
