param,aic
"[(2, 1, 2), (3, 0, 1, 7)]",13080.467316037808
"[(2, 1, 2), (1, 0, 3, 7)]",13081.085265947393
"[(1, 1, 1), (1, 0, 2, 7)]",13085.24480528908
"[(2, 1, 2), (2, 0, 1, 7)]",13089.39138959776
"[(2, 1, 2), (1, 0, 2, 7)]",13092.079806163718
"[(3, 1, 3), (2, 0, 1, 7)]",13097.511876754346
"[(0, 1, 1), (3, 0, 1, 7)]",13127.331571012572
"[(3, 1, 0), (3, 0, 1, 7)]",13253.618502100226
"[(3, 1, 0), (1, 0, 3, 7)]",13253.871341599432
"[(3, 1, 0), (1, 0, 1, 7)]",13257.411429852868
"[(3, 1, 0), (2, 0, 1, 7)]",13259.268709898894
"[(3, 1, 0), (1, 0, 2, 7)]",13259.285521399572
"[(3, 1, 0), (3, 0, 3, 7)]",13259.330324010447
"[(3, 1, 0), (2, 0, 2, 7)]",13260.749263385507
"[(3, 1, 0), (2, 0, 3, 7)]",13262.692572126314
"[(3, 1, 0), (3, 0, 2, 7)]",13262.70138136618
"[(2, 1, 3), (3, 0, 0, 7)]",13295.125477886295
"[(3, 1, 3), (3, 0, 0, 7)]",13297.060777842727
"[(3, 1, 1), (3, 0, 0, 7)]",13303.87459120012
"[(1, 1, 3), (3, 0, 0, 7)]",13306.495609529797
"[(2, 1, 1), (3, 0, 0, 7)]",13308.747245658444
"[(3, 1, 2), (3, 0, 0, 7)]",13312.757933233746
"[(0, 1, 3), (3, 0, 0, 7)]",13315.755305164534
"[(2, 1, 2), (3, 0, 0, 7)]",13321.346305416591
"[(1, 1, 1), (3, 0, 0, 7)]",13321.722254200213
"[(0, 1, 2), (3, 0, 0, 7)]",13328.553528079705
"[(2, 1, 0), (1, 0, 3, 7)]",13361.775487698764
"[(2, 1, 0), (3, 0, 1, 7)]",13361.872633376857
"[(0, 1, 1), (3, 0, 0, 7)]",13363.592402288748
"[(2, 1, 0), (1, 0, 1, 7)]",13367.209189041274
"[(2, 1, 0), (2, 0, 1, 7)]",13369.209009899503
"[(2, 1, 0), (1, 0, 2, 7)]",13369.209328344026
"[(2, 1, 0), (3, 0, 3, 7)]",13370.402439325342
"[(2, 1, 0), (2, 0, 2, 7)]",13371.139033373165
