param,smape
"(150, 0.01, 3, 0.1, 1)",23.20317322
"(150, 0.01, 3, 0.1, 3)",23.20317322
"(150, 0.01, 3, 0.1, 5)",23.20317322
"(150, 0.01, 3, 0.2, 1)",23.20317322
"(150, 0.01, 3, 0.2, 3)",23.20317322
"(150, 0.01, 3, 0.2, 5)",23.20317322
"(150, 0.01, 10, 0.0, 1)",23.20576662
"(150, 0.01, 10, 0.1, 1)",23.20747315
"(150, 0.01, 10, 0.2, 1)",23.20876163
"(150, 0.01, 10, 0.1, 5)",23.20930384
"(150, 0.01, 10, 0.2, 5)",23.21229537
"(150, 0.01, 10, 0.0, 3)",23.21317081
"(150, 0.01, 10, 0.1, 3)",23.21884088
"(150, 0.01, 10, 0.2, 3)",23.21884088
"(150, 0.01, 12, 0.1, 5)",23.41736938
"(150, 0.01, 12, 0.0, 5)",23.41846713
"(150, 0.01, 12, 0.2, 5)",23.42459876
"(150, 0.01, 12, 0.0, 3)",23.4339096
"(150, 0.01, 12, 0.2, 3)",23.44391544
"(150, 0.01, 12, 0.1, 3)",23.44576838
"(150, 0.01, 12, 0.0, 1)",23.46032626
"(150, 0.01, 12, 0.2, 1)",23.46032793
"(150, 0.01, 12, 0.1, 1)",23.46827684
"(50, 0.01, 3, 0.0, 3)",80.02647883
"(50, 0.01, 3, 0.0, 1)",80.11694182
"(50, 0.01, 3, 0.0, 5)",80.11745787
"(50, 0.01, 3, 0.1, 1)",80.11745787
"(50, 0.01, 3, 0.1, 3)",80.11745787
"(50, 0.01, 3, 0.1, 5)",80.11745787
"(50, 0.01, 3, 0.2, 1)",80.11745787
"(50, 0.01, 3, 0.2, 3)",80.11745787
"(50, 0.01, 3, 0.2, 5)",80.11745787
"(50, 0.01, 10, 0.0, 3)",81.00115657
"(50, 0.01, 10, 0.1, 3)",81.00115657
"(50, 0.01, 10, 0.2, 3)",81.00115657
"(50, 0.01, 10, 0.0, 5)",81.00124323
"(50, 0.01, 10, 0.1, 5)",81.00135785
"(50, 0.01, 10, 0.2, 5)",81.00246605
"(50, 0.01, 10, 0.0, 1)",81.01448891
"(50, 0.01, 10, 0.1, 1)",81.01448903
"(50, 0.01, 10, 0.2, 1)",81.01448903
"(50, 0.01, 6, 0.0, 1)",81.100535
"(50, 0.01, 6, 0.0, 3)",81.100535
"(50, 0.01, 6, 0.0, 5)",81.100535
"(50, 0.01, 6, 0.1, 1)",81.100535
"(50, 0.01, 6, 0.1, 3)",81.100535
"(50, 0.01, 6, 0.1, 5)",81.100535
"(50, 0.01, 6, 0.2, 1)",81.100535
"(50, 0.01, 6, 0.2, 3)",81.100535
"(50, 0.01, 6, 0.2, 5)",81.100535
"(50, 0.01, 12, 0.1, 5)",81.39635784
"(50, 0.01, 12, 0.2, 5)",81.39686485
"(50, 0.01, 12, 0.0, 5)",81.39773789
"(50, 0.01, 12, 0.0, 3)",81.39965467
"(50, 0.01, 12, 0.2, 3)",81.40500295
"(50, 0.01, 12, 0.1, 3)",81.40613318
"(50, 0.01, 12, 0.1, 1)",81.42783031
"(50, 0.01, 12, 0.2, 1)",81.42876961
"(50, 0.01, 12, 0.0, 1)",81.43773221
