param,smape
"(150, 0.1, 12, 0.2, 1)",12.90451929
"(150, 0.05, 12, 0.0, 1)",12.90686776
"(150, 0.05, 10, 0.1, 3)",12.907
"(150, 0.05, 12, 0.2, 5)",12.90775918
"(150, 0.05, 10, 0.0, 3)",12.91030947
"(150, 0.2, 10, 0.0, 5)",12.9116766
"(150, 0.05, 12, 0.1, 3)",12.91252544
"(150, 0.05, 12, 0.1, 5)",12.91451062
"(150, 0.05, 12, 0.2, 1)",12.91495429
"(150, 0.05, 10, 0.0, 1)",12.91757633
"(150, 0.2, 10, 0.0, 3)",12.91787489
"(150, 0.05, 10, 0.1, 1)",12.92038885
"(150, 0.05, 10, 0.2, 5)",12.92146427
"(150, 0.05, 12, 0.1, 1)",12.92242616
"(150, 0.05, 10, 0.1, 5)",12.92347521
"(150, 0.05, 12, 0.0, 5)",12.923605
"(150, 0.05, 10, 0.2, 3)",12.92364672
"(150, 0.05, 10, 0.2, 1)",12.92448336
"(150, 0.2, 10, 0.2, 5)",12.9247182
"(150, 0.05, 10, 0.0, 5)",12.92543662
"(150, 0.2, 10, 0.2, 1)",12.93431716
"(250, 0.2, 10, 0.0, 5)",12.93796186
"(150, 0.2, 10, 0.0, 1)",12.9399473
"(150, 0.2, 10, 0.1, 1)",12.94030271
"(150, 0.2, 10, 0.1, 3)",12.94132594
"(250, 0.1, 6, 0.0, 5)",12.94315412
"(250, 0.1, 6, 0.1, 5)",12.94315412
"(250, 0.1, 6, 0.2, 5)",12.94315412
"(150, 0.2, 10, 0.1, 5)",12.94321663
"(250, 0.2, 10, 0.1, 5)",12.9510005
"(250, 0.2, 10, 0.2, 5)",12.9522141
"(250, 0.2, 10, 0.0, 1)",12.95362084
"(150, 0.2, 10, 0.2, 3)",12.9574325
"(350, 0.2, 10, 0.0, 3)",12.96274567
"(50, 0.1, 12, 0.1, 3)",12.96338076
"(50, 0.1, 12, 0.0, 3)",12.96416314
"(250, 0.2, 10, 0.1, 1)",12.96659262
"(150, 0.2, 6, 0.0, 1)",12.96714757
"(150, 0.2, 6, 0.1, 1)",12.96714757
"(150, 0.2, 6, 0.2, 1)",12.96714757
"(50, 0.1, 12, 0.0, 5)",12.9702509
"(250, 0.2, 10, 0.2, 1)",12.97096551
"(250, 0.1, 6, 0.2, 1)",12.97241933
"(250, 0.1, 6, 0.0, 1)",12.97241933
"(250, 0.1, 6, 0.1, 1)",12.97241933
"(150, 0.2, 6, 0.0, 3)",12.97250485
"(150, 0.2, 6, 0.1, 3)",12.97250485
"(150, 0.2, 6, 0.2, 3)",12.97250485
"(350, 0.2, 10, 0.1, 3)",12.9727621
"(150, 0.2, 6, 0.0, 5)",12.97404433
"(150, 0.2, 6, 0.1, 5)",12.97404433
"(150, 0.2, 6, 0.2, 5)",12.97404433
"(250, 0.1, 6, 0.0, 3)",12.97613452
"(250, 0.1, 6, 0.1, 3)",12.97613452
"(250, 0.1, 6, 0.2, 3)",12.97613452
"(50, 0.1, 12, 0.2, 5)",12.97863558
"(50, 0.1, 12, 0.1, 5)",12.98155483
"(350, 0.2, 10, 0.1, 1)",12.98382489
"(350, 0.2, 10, 0.2, 1)",12.98720459
"(50, 0.1, 12, 0.2, 3)",12.98896348
"(350, 0.2, 10, 0.2, 5)",12.98988166
"(350, 0.2, 10, 0.1, 5)",12.98994034
"(350, 0.2, 10, 0.0, 5)",12.99223554
"(50, 0.2, 10, 0.0, 5)",12.99245036
"(50, 0.1, 12, 0.2, 1)",13.00011448
"(50, 0.1, 12, 0.0, 1)",13.00030356
"(50, 0.2, 10, 0.0, 3)",13.00179643
"(350, 0.2, 3, 0.0, 5)",13.00235182
"(350, 0.2, 3, 0.1, 3)",13.00235182
"(350, 0.2, 3, 0.0, 1)",13.00235182
"(350, 0.2, 3, 0.2, 1)",13.00235182
"(350, 0.2, 3, 0.1, 5)",13.00235182
"(350, 0.2, 3, 0.1, 1)",13.00235182
"(350, 0.2, 3, 0.0, 3)",13.00235182
"(350, 0.2, 3, 0.2, 3)",13.00235182
"(350, 0.2, 3, 0.2, 5)",13.00235182
"(50, 0.1, 12, 0.1, 1)",13.00320502
"(350, 0.2, 10, 0.2, 3)",13.00461826
"(50, 0.2, 10, 0.2, 1)",13.00735409
"(350, 0.2, 10, 0.0, 1)",13.00877766
"(50, 0.1, 10, 0.0, 1)",13.00932748
"(50, 0.1, 10, 0.1, 1)",13.00932988
"(50, 0.1, 10, 0.2, 1)",13.00932988
"(50, 0.2, 10, 0.1, 3)",13.01040941
"(50, 0.2, 10, 0.2, 3)",13.01059858
"(50, 0.2, 10, 0.0, 1)",13.01063808
"(50, 0.2, 10, 0.1, 1)",13.01071333
"(350, 0.05, 6, 0.2, 5)",13.01479791
"(350, 0.05, 6, 0.0, 5)",13.01479791
"(350, 0.05, 6, 0.1, 5)",13.01479791
"(350, 0.05, 6, 0.0, 3)",13.01684568
"(350, 0.05, 6, 0.2, 3)",13.01684568
"(350, 0.05, 6, 0.1, 3)",13.01684568
"(50, 0.2, 10, 0.2, 5)",13.01721647
"(50, 0.2, 10, 0.1, 5)",13.01721691
"(350, 0.01, 12, 0.1, 5)",13.01927107
"(50, 0.1, 10, 0.0, 3)",13.01968254
"(50, 0.1, 10, 0.1, 3)",13.01968254
"(50, 0.1, 10, 0.2, 3)",13.01968254
"(350, 0.01, 12, 0.2, 5)",13.02005477
"(50, 0.2, 12, 0.2, 5)",13.02355301
"(50, 0.2, 12, 0.1, 5)",13.02428936
"(50, 0.1, 10, 0.0, 5)",13.02594195
"(50, 0.1, 10, 0.1, 5)",13.02594195
"(50, 0.1, 10, 0.2, 5)",13.02594203
"(350, 0.01, 12, 0.1, 3)",13.02680611
"(350, 0.01, 12, 0.2, 3)",13.02685191
"(350, 0.01, 12, 0.0, 3)",13.02935061
"(350, 0.01, 12, 0.2, 1)",13.03003513
"(350, 0.05, 6, 0.2, 1)",13.03345108
"(350, 0.05, 6, 0.1, 1)",13.03345108
"(350, 0.05, 6, 0.0, 1)",13.03345111
"(250, 0.2, 10, 0.2, 3)",13.03360565
"(50, 0.2, 12, 0.0, 5)",13.03399729
"(250, 0.2, 10, 0.1, 3)",13.03531502
"(350, 0.01, 12, 0.0, 1)",13.0367342
"(350, 0.01, 12, 0.1, 1)",13.03779279
"(150, 0.2, 12, 0.2, 5)",13.04120358
"(150, 0.2, 12, 0.1, 5)",13.04353219
